,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,taste,vanilla,salt,sugar,sweetener,cocoa_butter,lecithin,company_continent,origin_continent,nutty,sweet,cocoa,roasty,creamy,earthy,sandy,fatty,floral,intense,spicy,sour,molasses,woody,vanilla_taste,sticky,fruit,smokey
27,A. Morin,France,2018,Venezuela,Porcelana,70.0,3.5,4,"alluring aroma, powdery, nutty",0,0,1,0,1,1,EU,SA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,Acalli,United States,2015,Peru,"Chulucanas, El Platanal, batch 001",70.0,3.75,2,yellow fruit,0,0,1,0,0,0,NA,SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Acalli,United States,2015,Peru,"Tumbes, Norandino",70.0,3.75,2,"intense, nutty, cherry, cocoa",0,0,1,0,0,0,NA,SA,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
30,Acalli,United States,2020,Peru,"Barataria, El Plantal and Norandino Tumbes blend",70.0,3.5,2,"hot cocoa, rich, molasses",0,0,1,0,0,0,NA,SA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
31,Acalli,United States,2020,Mexico,"Teapa, Tabasco, batch 2",74.0,3.25,2,"herbal, molasses, hammy",0,0,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,88.0,3.5,3,"orange, floral, lemon",0,0,1,0,1,0,OC,OC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
33,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Ami-Ami-CA",72.0,3.5,3,cocoa and powerful tang,0,0,1,0,1,0,OC,OC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Toto-A",80.0,3.25,3,spicy and candy-like,0,0,1,0,1,0,OC,OC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,60.0,2.75,3,"sweet, sublte strawberry",0,0,1,0,1,0,OC,OC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Aelan,Vanuatu,2019,Vanuatu,"EPI Island, batch E 11/19",70.0,3.0,2,"sandy, woody, spicy, sweet",0,0,1,0,0,0,OC,OC,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
37,Aelan,Vanuatu,2019,Vanuatu,"Malo Island, batch Ma20/19",70.0,2.75,2,"basic, sweet, cocoa, woody",0,0,1,0,0,0,OC,OC,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,Aelan,Vanuatu,2019,Vanuatu,"Santo Island, batch S15/19",70.0,2.75,2,"sweet, cocoa, rubbery",0,0,1,0,0,0,OC,OC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Aelan,Vanuatu,2019,Vanuatu,"Malekula Island, batch M10/19",70.0,2.5,2,"unrefined, sweet, metallic",0,0,1,0,0,0,OC,OC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",70.0,3.0,4,"roasty, nutty, coffee",1,0,1,0,1,0,SA,SA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",55.0,2.75,4,"sandy, sweet, banana cream",1,0,1,0,1,0,SA,SA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,Ah Cacao,Mexico,2009,Mexico,Tabasco,70.0,3.0,3,"gritty, spice, cocoa",0,0,1,0,1,0,NA,NA,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
43,Akesson's (Pralus),Switzerland,2010,Madagascar,"Madagascar, Ambolikapiky P.",75.0,2.75,4,"strong pepper, musty",0,0,1,0,1,1,EU,AF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Akesson's (Pralus),Switzerland,2010,Brazil,"Monte Alegre, D. Badero",75.0,2.75,4,"fatty, intense, woody",0,0,1,0,1,1,EU,SA,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
45,Akesson's (Pralus),Switzerland,2011,Indonesia,"Bali (west), Sukrama Family, Melaya area",75.0,3.75,4,"hay, nut, berry",0,0,1,0,1,1,EU,AS,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
46,Alain Ducasse,France,2013,Venezuela,Chuao,75.0,2.5,5,"sandy, dirt, ashey",1,0,1,0,1,1,EU,SA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
47,Alain Ducasse,France,2013,Peru,"Piura, Perou",75.0,2.5,5,"cardboard, dirt, roasty",1,0,1,0,1,1,EU,SA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,Alain Ducasse,France,2014,Madagascar,Madagascar,75.0,3.0,5,"citrus, fatty, dairy",1,1,1,0,1,0,EU,AF,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
49,Alain Ducasse,France,2014,Trinidad and Tobago,Trinite,65.0,2.75,6,"roasty, sweet, savory",1,1,1,0,1,1,EU,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Alain Ducasse,France,2014,Vietnam,Vietnam,75.0,2.75,5,"nutty, roasty, odd dairy",1,1,1,0,1,0,EU,AS,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Alain Ducasse,France,2017,Mexico,"Porcelana, Mexique",75.0,3.5,6,"strawberry, cream, gateway",1,1,1,0,1,1,EU,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
52,Alexandre,Netherlands,2017,Ecuador,"Winak Coop, Napo",70.0,3.5,3,"sandy, green, floral",0,0,1,0,1,0,EU,SA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
53,Alexandre,Netherlands,2017,Nicaragua,"La Dalia, Matagalpa",70.0,3.5,3,"sandy, sweet, nibby",0,0,1,0,1,0,EU,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,Alexandre,Netherlands,2017,Tanzania,"Makwale Village, Kyela",70.0,3.5,3,"sandy, melon, banana",0,0,1,0,1,0,EU,AF,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
55,Alexandre,Netherlands,2017,Vietnam,Tien Giang,70.0,3.5,3,"sandy, sweet, roasty",0,0,1,0,1,0,EU,AS,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,Altus aka Cao Artisan,United States,2013,Bolivia,"Bolivia, batch 101",80.0,3.25,4,"gritty, berry, mild bitter",0,0,1,0,1,1,NA,SA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
57,Altus aka Cao Artisan,United States,2013,Peru,"Peru, batch 148",60.0,3.25,4,"gritty, too sweet, fruit",0,0,1,0,1,1,NA,SA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
58,Altus aka Cao Artisan,United States,2013,Dominican republic,"Conacado, batch 130",60.0,3.0,4,"sandy, sweet, dairy, spice",0,0,1,0,1,1,NA,NA,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
59,Altus aka Cao Artisan,United States,2013,Bolivia,"Bolivia, batch 154",60.0,3.0,4,"grit, sweet, caramel, fruit",0,0,1,0,1,1,NA,SA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
60,Altus aka Cao Artisan,United States,2013,Venezuela,Sur del Lago,60.0,2.5,4,"sweet, moldy, off",0,0,1,0,1,1,NA,SA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Altus aka Cao Artisan,United States,2016,Peru,Acopagro,60.0,3.0,3,"dry, sweet, caramel",0,0,1,0,1,0,NA,SA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Altus aka Cao Artisan,United States,2016,Nicaragua,Momotombo,60.0,2.75,3,"powdery, sweet, molasses",0,0,1,0,1,0,NA,NA,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
63,Altus aka Cao Artisan,United States,2016,Ecuador,Gruppo Salinas,60.0,2.75,3,"sandy, nutty, earthy, roasty",0,0,1,0,1,0,NA,SA,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
64,Altus aka Cao Artisan,United States,2016,Bolivia,CIAAB Coop,60.0,2.5,3,"sandy, sweet, pungent",0,0,1,0,1,0,NA,SA,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
65,Altus aka Cao Artisan,United States,2016,Peru,Villa Andina,60.0,2.5,3,"sandy, sweet, sour, off",0,0,1,0,1,0,NA,SA,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
66,Altus aka Cao Artisan,United States,2018,Dominican republic,Oko Caribe,70.0,3.0,3,"sweet, coarse, nutty",0,0,1,0,1,0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Amano,United States,2007,Venezuela,Ocumare,70.0,3.75,4,"spicy, strawberry",1,0,1,0,1,0,NA,SA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
68,Amano,United States,2007,Madagascar,Madagascar,70.0,3.5,4,"spice, nut, cocoa, fruit",1,0,1,0,1,0,NA,AF,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
69,Amano,United States,2007,Venezuela,Cuyagua,70.0,3.0,4,"waxy, nutty, mint",1,0,1,0,1,0,NA,SA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,Amano,United States,2008,Indonesia,"Bali, Jembrana",70.0,2.75,4,"sticky, nutty, high acidity",1,0,1,0,1,0,NA,AS,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
71,Amano,United States,2009,Venezuela,Montanya,70.0,3.0,4,"hot spice, roasty",1,0,1,0,1,0,NA,SA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,Amano,United States,2010,Ecuador,Guayas,70.0,4.0,4,"strong spice, intense pepper",1,0,1,0,1,0,NA,SA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
73,Amano,United States,2010,Dominican republic,Dos Rios,70.0,3.75,4,"orange, cinamon",1,0,1,0,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
74,Amano,United States,2010,Venezuela,Chuao,70.0,3.0,4,"woody, red berry, sour",1,0,1,0,1,0,NA,SA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
75,Amano,United States,2011,Papua new guinea,Morobe,70.0,4.0,4,"tart, lemon, smoke",1,0,1,0,1,0,NA,OC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
76,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,70.0,3.0,2,"dry, chalky, fudge-like",0,0,1,0,0,0,EU,AF,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,85.0,3.0,2,"roasty, oddly sweet, marshmallow",0,0,1,0,0,0,EU,AF,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,70.0,2.75,2,"waxy mouthfeel, spicy",0,0,1,0,0,0,EU,SA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,85.0,2.75,2,"fatty, mushroom, off notes",0,0,1,0,0,0,EU,SA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,Amazona,Peru,2013,Peru,"Bellavista Gran Pajeten, San Martin",73.0,3.5,3,"oily, vegetal, nutty, cocoa",0,0,1,0,1,0,SA,SA,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,Amazona,Peru,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72.0,3.25,3,"oily, vanilla, melon, cocoa",0,0,1,0,1,0,SA,SA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
82,Ambrosia,Canada,2015,Peru,Peru,68.0,3.5,2,"rich, sour, mild smoke",0,0,1,0,0,0,NA,SA,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
83,Ambrosia,Canada,2015,Madagascar,Madagascar,66.0,3.25,2,"fruity, sour",0,0,1,0,0,0,NA,AF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
84,Ambrosia,Canada,2015,Dominican republic,Dominican Republic,75.0,3.25,2,"high roast, high astringnet",0,0,1,0,0,0,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Ambrosia,Canada,2015,Papua new guinea,Papua New Guinea,63.0,3.25,2,"smokey, savory",0,0,1,0,0,0,NA,OC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,Ambrosia,Canada,2015,Venezuela,Venezuela,70.0,3.25,2,"sandy, roasty, nutty",0,0,1,0,0,0,NA,SA,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87,Ambrosia,Canada,2015,Belize,Belize,64.0,3.0,4,"roasty, brownie, nutty",0,0,1,0,1,1,NA,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Amedei,Italy,2006,Blend,Toscano Black,66.0,3.75,4,"red wine, rich cocoa, long",1,0,1,0,1,0,EU,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Amedei,Italy,2007,Venezuela,Venezuela,70.0,3.75,4,"creamy, fruit, cocoa",1,0,1,0,1,0,EU,SA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
90,Amedei,Italy,2007,Grenada,Grenada,70.0,3.5,4,fruity with coffee notes,1,0,1,0,1,0,EU,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Amedei,Italy,2007,Trinidad and Tobago,Trinidad,70.0,3.5,4,"coffee, fruit, woodsy",1,0,1,0,1,0,EU,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
92,Amedei,Italy,2007,Blend,Toscano Black,63.0,3.5,4,"fatty, dairy, caramel, cocoa",1,0,1,0,1,0,EU,Unknown,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,Amedei,Italy,2007,Ecuador,Ecuador,70.0,3.0,4,"creamy, earthy, vegetal",1,0,1,0,1,0,EU,SA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
94,Amedei,Italy,2007,Jamaica,Jamaica,70.0,3.0,4,"sandy, woody, spicy",1,0,1,0,1,0,EU,NA,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
95,Amedei,Italy,2012,Peru,"Piura, Blanco de Criollo",70.0,3.75,4,"creamy, raspberry, nutty",1,0,1,0,1,0,EU,SA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
96,Amedei,Italy,2018,Blend,Nine,75.0,3.5,4,"sweet, delicate, complex",1,0,1,0,1,0,EU,Unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Amedei,Italy,2018,Madagascar,Madagascar,70.0,3.0,4,"vanilla, mint, roasty",1,0,1,0,1,0,EU,AF,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
98,Amedei,Italy,2018,Venezuela,Chuao,70.0,3.0,4,"vanilla, nuts, roasty",1,0,1,0,1,0,EU,SA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,Amedei,Italy,2018,Venezuela,Porcelana,70.0,3.0,4,"nutty, mild roasty, vanilla",1,0,1,0,1,0,EU,SA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,Amedei,Italy,2019,Blend,Toscano Black,70.0,2.75,3,"nut, fatty, rubbery, rich",0,0,1,0,1,0,EU,Unknown,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
101,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",60.0,4.0,4,"creamy, sweet, cocoa, banana",0,0,1,0,1,1,SA,SA,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
102,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",50.0,3.75,4,"very sweet, bright red, banana",0,0,1,0,1,1,SA,SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
103,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",75.0,3.75,4,"roasty, fatty, nutty, coffee",0,0,1,0,1,1,SA,SA,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",85.0,2.75,4,"creamy, red berry, bitter",0,0,1,0,1,1,SA,SA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
105,AMMA,Brazil,2013,Brazil,Catongo,75.0,3.25,4,"grainy, sweet, poor aftertaste",0,0,1,0,1,1,SA,SA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,Anahata,United States,2014,Dominican republic,Elvesia,75.0,3.0,2,"chalky, mild fruit, burnt",0,0,1,0,0,0,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
107,Animas,United States,2016,Bolivia,Alto Beni,75.0,3.5,2,"light roast, caramel, cocoa",0,0,1,0,0,0,NA,SA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Ara,France,2014,Madagascar,Madagascar,75.0,3.0,3,"sandy, fruity, short",0,0,1,0,1,0,EU,AF,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
109,Ara,France,2014,Venezuela,Trincheras,75.0,3.0,3,"nutty, mild spice, mild earthy",0,0,1,0,1,0,EU,SA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Ara,France,2014,Ecuador,Equateur,75.0,2.75,3,"bitter, floral, leather",0,0,1,0,1,0,EU,SA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111,Ara,France,2014,Mexico,Chiapas,72.0,2.5,3,"earthy, sour milk, leather",0,0,1,0,1,0,EU,NA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
112,Arete,United States,2015,Nicaragua,Chuno,70.0,4.0,2,"creamy, sticky, peanut butter",0,0,1,0,0,0,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
113,Arete,United States,2015,Ecuador,"Puerto Quito, heirloom",70.0,3.75,2,"spicy, cocoa",0,0,1,0,0,0,NA,SA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
114,Arete,United States,2015,Belize,Maya Mountain,70.0,3.75,2,"floral, strawberry, metallic",0,0,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
115,Arete,United States,2015,Brazil,Fazenda Camboa,70.0,3.5,2,"creamy, rich, rum, roasty",0,0,1,0,0,0,NA,SA,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
116,Arete,United States,2015,Peru,Nacional,68.0,3.5,2,"floral, nutty, rich cocoa",0,0,1,0,0,0,NA,SA,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
117,Arete,United States,2015,Dominican republic,Oko Caribe,70.0,3.5,2,"spicy, brownie, nutty",0,0,1,0,0,0,NA,NA,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
118,Arete,United States,2015,Ecuador,Camino Verde,75.0,3.5,3,"intense, floral, bourbon",0,0,1,0,1,0,NA,SA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
119,Arete,United States,2015,Guatemala,Guatemala,70.0,3.25,2,"strawberry, butterscotch, off",0,0,1,0,0,0,NA,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
120,Arete,United States,2015,Brazil,Fazenda Camboa,75.0,2.75,2,"floral, chemical off",0,0,1,0,0,0,NA,SA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
121,Arete,United States,2016,Costa rica,"Coto Brus, Terciopelo",70.0,4.0,2,"balanced, cherry, choco",0,0,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
122,Arete,United States,2016,Peru,Phantom,70.0,4.0,2,"creamy, complex, balanced",0,0,1,0,0,0,NA,SA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Arete,United States,2016,Tanzania,Kokoa Kamili,70.0,3.75,2,"appealing smoke, woody",0,0,1,0,0,0,NA,AF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
124,Arete,United States,2016,Nicaragua,Rugoso,70.0,3.75,3,"muddy, rich cocoa, raspberry",0,0,1,0,1,0,NA,NA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
125,Arete,United States,2016,Dominican republic,Elvesia,70.0,3.75,2,"dark berry, chocolatey",0,0,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
