,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,taste,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,nutty,sweet,cocoa,roasty,creamy,earthy,sandy,fatty,floral,intense,spicy,sour,molasses,woody,vanilla_taste,sticky,fruit,smokey,company_continent,origin_continent
10,1015,A. Morin,France,3.2148876404494384,Papua new guinea,Papua New Guinea,70.0,3.25,4,"mild fruit, strong smoke",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.223530513554012,3.223404255319149
11,1019,A. Morin,France,3.2148876404494384,Peru,Piura,70.0,3.25,4,"green, nutty, cocoa",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2241003271537623
12,1011,A. Morin,France,3.2148876404494384,Madagascar,"Madagascar, Criollo",70.0,3.0,4,"sticky, red fruit, sour",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3.223530513554012,3.2186609686609686
13,1015,A. Morin,France,3.2148876404494384,Myanmar,Birmanie,70.0,3.0,4,"sticky, smokey, grass",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.223530513554012,3.203216374269006
14,1011,A. Morin,France,3.2148876404494384,Panama,Panama,70.0,2.75,4,"brief fruit note, earthy, nutty",1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.211668839634941
15,1015,A. Morin,France,3.2148876404494384,Colombia,Colombie,70.0,2.75,4,"burnt rubber, alkalyzed notes",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2241003271537623
16,1319,A. Morin,France,3.197530864197531,Peru,Pablino,70.0,4.0,4,"delicate, hazelnut, brownie",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2241003271537623
17,1319,A. Morin,France,3.197530864197531,Venezuela,"Puerto Cabello, Criollo",70.0,3.75,4,"astringent, nutty, chocolatey",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2241003271537623
18,1315,A. Morin,France,3.197530864197531,Cuba,Cuba,70.0,3.5,4,"sliglty dry, papaya",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.223530513554012,3.211668839634941
19,1315,A. Morin,France,3.197530864197531,Venezuela,"Sur del Lago, Criollo",70.0,3.5,4,"nutty, mild choco, roasty",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2241003271537623
20,1315,A. Morin,France,3.197530864197531,Venezuela,"Carenero, Criollo",70.0,2.75,4,"harsh, leather, earthy",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2241003271537623
21,1680,A. Morin,France,3.24375,Togo,Akata,70.0,3.5,4,"mild profile, chocolaty, spice",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.223530513554012,3.2186609686609686
22,1704,A. Morin,France,3.24375,Peru,Quilla,70.0,3.5,4,"grainy texture, cocoa, sweet",1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2241003271537623
23,1676,A. Morin,France,3.24375,Togo,Atsane,70.0,3.0,4,"roasty, acidic, nutty",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.223530513554012,3.2186609686609686
24,1676,A. Morin,France,3.24375,Togo,Kpime,70.0,2.75,4,"burnt wood, earthy, choco",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.223530513554012,3.2186609686609686
25,1876,A. Morin,France,3.236046511627907,Sao Tome and Principe,Agua Grande,63.0,3.75,4,"sweet, chocolatey, vegetal",1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2186609686609686
26,2206,A. Morin,France,3.1915555555555555,Peru,Absolu,63.0,3.75,4,"sweet, dairy, spice, cocoa",1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.223530513554012,3.2241003271537623
27,2206,A. Morin,France,3.1915555555555555,Venezuela,Porcelana,70.0,3.5,4,"alluring aroma, powdery, nutty",1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2241003271537623
28,1462,Acalli,United States,3.24375,Peru,"Chulucanas, El Platanal, batch 001",70.0,3.75,2,yellow fruit,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.205074235907952,3.2241003271537623
29,1470,Acalli,United States,3.24375,Peru,"Tumbes, Norandino",70.0,3.75,2,"intense, nutty, cherry, cocoa",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3.205074235907952,3.2241003271537623
30,2470,Acalli,United States,3.256172839506173,Peru,"Barataria, El Plantal and Norandino Tumbes blend",70.0,3.5,2,"hot cocoa, rich, molasses",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3.205074235907952,3.2241003271537623
31,2462,Acalli,United States,3.256172839506173,Mexico,"Teapa, Tabasco, batch 2",74.0,3.25,2,"herbal, molasses, hammy",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.205074235907952,3.211668839634941
32,705,Adi aka Fijiana (Easy In Ltd),Fiji,3.2712418300653594,Fiji,Vanua Levu,88.0,3.5,3,"orange, floral, lemon",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3.2484785562022997,3.223404255319149
33,705,Adi aka Fijiana (Easy In Ltd),Fiji,3.2712418300653594,Fiji,"Vanua Levu, Ami-Ami-CA",72.0,3.5,3,cocoa and powerful tang,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2484785562022997,3.223404255319149
34,705,Adi aka Fijiana (Easy In Ltd),Fiji,3.2712418300653594,Fiji,"Vanua Levu, Toto-A",80.0,3.25,3,spicy and candy-like,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2484785562022997,3.223404255319149
35,705,Adi aka Fijiana (Easy In Ltd),Fiji,3.2712418300653594,Fiji,Vanua Levu,60.0,2.75,3,"sweet, sublte strawberry",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2484785562022997,3.223404255319149
36,2438,Aelan,Vanuatu,3.1333333333333333,Vanuatu,"EPI Island, batch E 11/19",70.0,3.0,2,"sandy, woody, spicy, sweet",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3.2484785562022997,3.223404255319149
37,2438,Aelan,Vanuatu,3.1333333333333333,Vanuatu,"Malo Island, batch Ma20/19",70.0,2.75,2,"basic, sweet, cocoa, woody",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.2484785562022997,3.223404255319149
38,2442,Aelan,Vanuatu,3.1333333333333333,Vanuatu,"Santo Island, batch S15/19",70.0,2.75,2,"sweet, cocoa, rubbery",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2484785562022997,3.223404255319149
39,2438,Aelan,Vanuatu,3.1333333333333333,Vanuatu,"Malekula Island, batch M10/19",70.0,2.5,2,"unrefined, sweet, metallic",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2484785562022997,3.223404255319149
40,370,Aequare (Gianduja),Ecuador,3.088495575221239,Ecuador,"Los Rios, Quevedo, Arriba",70.0,3.0,4,"roasty, nutty, coffee",1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1836512421545726,3.2241003271537623
41,370,Aequare (Gianduja),Ecuador,3.088495575221239,Ecuador,"Los Rios, Quevedo, Arriba",55.0,2.75,4,"sandy, sweet, banana cream",1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.1836512421545726,3.2241003271537623
42,316,Ah Cacao,Mexico,3.088495575221239,Mexico,Tabasco,70.0,3.0,3,"gritty, spice, cocoa",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3.205074235907952,3.211668839634941
43,502,Akesson's (Pralus),Switzerland,3.1888297872340425,Madagascar,"Madagascar, Ambolikapiky P.",75.0,2.75,4,"strong pepper, musty",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2186609686609686
44,508,Akesson's (Pralus),Switzerland,3.1888297872340425,Brazil,"Monte Alegre, D. Badero",75.0,2.75,4,"fatty, intense, woody",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3.223530513554012,3.2241003271537623
45,636,Akesson's (Pralus),Switzerland,3.2712418300653594,Indonesia,"Bali (west), Sukrama Family, Melaya area",75.0,3.75,4,"hay, nut, berry",1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.223530513554012,3.203216374269006
46,1061,Alain Ducasse,France,3.2148876404494384,Venezuela,Chuao,75.0,2.5,5,"sandy, dirt, ashey",1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2241003271537623
47,1173,Alain Ducasse,France,3.2148876404494384,Peru,"Piura, Perou",75.0,2.5,5,"cardboard, dirt, roasty",1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2241003271537623
48,1215,Alain Ducasse,France,3.197530864197531,Madagascar,Madagascar,75.0,3.0,5,"citrus, fatty, dairy",1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.223530513554012,3.2186609686609686
49,1215,Alain Ducasse,France,3.197530864197531,Trinidad and Tobago,Trinite,65.0,2.75,6,"roasty, sweet, savory",1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.211668839634941
50,1215,Alain Ducasse,France,3.197530864197531,Vietnam,Vietnam,75.0,2.75,5,"nutty, roasty, odd dairy",1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.203216374269006
51,1992,Alain Ducasse,France,3.3627450980392157,Mexico,"Porcelana, Mexique",75.0,3.5,6,"strawberry, cream, gateway",1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.223530513554012,3.211668839634941
52,1944,Alexandre,Netherlands,3.3627450980392157,Ecuador,"Winak Coop, Napo",70.0,3.5,3,"sandy, green, floral",1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2241003271537623
53,1944,Alexandre,Netherlands,3.3627450980392157,Nicaragua,"La Dalia, Matagalpa",70.0,3.5,3,"sandy, sweet, nibby",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.211668839634941
54,1944,Alexandre,Netherlands,3.3627450980392157,Tanzania,"Makwale Village, Kyela",70.0,3.5,3,"sandy, melon, banana",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.223530513554012,3.2186609686609686
55,1944,Alexandre,Netherlands,3.3627450980392157,Vietnam,Tien Giang,70.0,3.5,3,"sandy, sweet, roasty",1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.203216374269006
56,1129,Altus aka Cao Artisan,United States,3.2148876404494384,Bolivia,"Bolivia, batch 101",80.0,3.25,4,"gritty, berry, mild bitter",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.205074235907952,3.2241003271537623
57,1133,Altus aka Cao Artisan,United States,3.2148876404494384,Peru,"Peru, batch 148",60.0,3.25,4,"gritty, too sweet, fruit",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.205074235907952,3.2241003271537623
58,1125,Altus aka Cao Artisan,United States,3.2148876404494384,Dominican republic,"Conacado, batch 130",60.0,3.0,4,"sandy, sweet, dairy, spice",1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3.205074235907952,3.211668839634941
59,1133,Altus aka Cao Artisan,United States,3.2148876404494384,Bolivia,"Bolivia, batch 154",60.0,3.0,4,"grit, sweet, caramel, fruit",1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.205074235907952,3.2241003271537623
60,1125,Altus aka Cao Artisan,United States,3.2148876404494384,Venezuela,Sur del Lago,60.0,2.5,4,"sweet, moldy, off",1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.205074235907952,3.2241003271537623
61,1728,Altus aka Cao Artisan,United States,3.236046511627907,Peru,Acopagro,60.0,3.0,3,"dry, sweet, caramel",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.205074235907952,3.2241003271537623
62,1728,Altus aka Cao Artisan,United States,3.236046511627907,Nicaragua,Momotombo,60.0,2.75,3,"powdery, sweet, molasses",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.205074235907952,3.211668839634941
63,1732,Altus aka Cao Artisan,United States,3.236046511627907,Ecuador,Gruppo Salinas,60.0,2.75,3,"sandy, nutty, earthy, roasty",1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.205074235907952,3.2241003271537623
64,1732,Altus aka Cao Artisan,United States,3.236046511627907,Bolivia,CIAAB Coop,60.0,2.5,3,"sandy, sweet, pungent",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3.205074235907952,3.2241003271537623
65,1732,Altus aka Cao Artisan,United States,3.236046511627907,Peru,Villa Andina,60.0,2.5,3,"sandy, sweet, sour, off",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.205074235907952,3.2241003271537623
66,2044,Altus aka Cao Artisan,United States,3.1915555555555555,Dominican republic,Oko Caribe,70.0,3.0,3,"sweet, coarse, nutty",1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.205074235907952,3.211668839634941
67,175,Amano,United States,3.1666666666666665,Venezuela,Ocumare,70.0,3.75,4,"spicy, strawberry",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3.205074235907952,3.2241003271537623
68,129,Amano,United States,3.1666666666666665,Madagascar,Madagascar,70.0,3.5,4,"spice, nut, cocoa, fruit",1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3.205074235907952,3.2186609686609686
69,147,Amano,United States,3.1666666666666665,Venezuela,Cuyagua,70.0,3.0,4,"waxy, nutty, mint",1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.205074235907952,3.2241003271537623
70,304,Amano,United States,3.0386904761904763,Indonesia,"Bali, Jembrana",70.0,2.75,4,"sticky, nutty, high acidity",1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.205074235907952,3.203216374269006
71,363,Amano,United States,3.088495575221239,Venezuela,Montanya,70.0,3.0,4,"hot spice, roasty",1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.205074235907952,3.2241003271537623
72,470,Amano,United States,3.1888297872340425,Ecuador,Guayas,70.0,4.0,4,"strong spice, intense pepper",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.205074235907952,3.2241003271537623
73,470,Amano,United States,3.1888297872340425,Dominican republic,Dos Rios,70.0,3.75,4,"orange, cinamon",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3.205074235907952,3.211668839634941
74,544,Amano,United States,3.1888297872340425,Venezuela,Chuao,70.0,3.0,4,"woody, red berry, sour",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3.205074235907952,3.2241003271537623
75,725,Amano,United States,3.2712418300653594,Papua new guinea,Morobe,70.0,4.0,4,"tart, lemon, smoke",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.205074235907952,3.223404255319149
76,322,Amatller (Simon Coll),Spain,3.088495575221239,Ghana,Ghana,70.0,3.0,2,"dry, chalky, fudge-like",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2186609686609686
77,464,Amatller (Simon Coll),Spain,3.088495575221239,Ghana,Ghana,85.0,3.0,2,"roasty, oddly sweet, marshmallow",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2186609686609686
78,327,Amatller (Simon Coll),Spain,3.088495575221239,Ecuador,Ecuador,70.0,2.75,2,"waxy mouthfeel, spicy",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.223530513554012,3.2241003271537623
79,464,Amatller (Simon Coll),Spain,3.088495575221239,Ecuador,Ecuador,85.0,2.75,2,"fatty, mushroom, off notes",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2241003271537623
80,1145,Amazona,Peru,3.2148876404494384,Peru,"Bellavista Gran Pajeten, San Martin",73.0,3.5,3,"oily, vegetal, nutty, cocoa",1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.1836512421545726,3.2241003271537623
81,1145,Amazona,Peru,3.2148876404494384,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72.0,3.25,3,"oily, vanilla, melon, cocoa",1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3.1836512421545726,3.2241003271537623
82,1498,Ambrosia,Canada,3.24375,Peru,Peru,68.0,3.5,2,"rich, sour, mild smoke",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3.205074235907952,3.2241003271537623
83,1494,Ambrosia,Canada,3.24375,Madagascar,Madagascar,66.0,3.25,2,"fruity, sour",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.205074235907952,3.2186609686609686
84,1498,Ambrosia,Canada,3.24375,Dominican republic,Dominican Republic,75.0,3.25,2,"high roast, high astringnet",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.205074235907952,3.211668839634941
85,1498,Ambrosia,Canada,3.24375,Papua new guinea,Papua New Guinea,63.0,3.25,2,"smokey, savory",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.205074235907952,3.223404255319149
86,1498,Ambrosia,Canada,3.24375,Venezuela,Venezuela,70.0,3.25,2,"sandy, roasty, nutty",0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.205074235907952,3.2241003271537623
87,1494,Ambrosia,Canada,3.24375,Belize,Belize,64.0,3.0,4,"roasty, brownie, nutty",1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.205074235907952,3.211668839634941
88,75,Amedei,Italy,3.0625,Blend,Toscano Black,66.0,3.75,4,"red wine, rich cocoa, long",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.086734693877551
89,123,Amedei,Italy,3.1666666666666665,Venezuela,Venezuela,70.0,3.75,4,"creamy, fruit, cocoa",1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.223530513554012,3.2241003271537623
90,123,Amedei,Italy,3.1666666666666665,Grenada,Grenada,70.0,3.5,4,fruity with coffee notes,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.211668839634941
91,129,Amedei,Italy,3.1666666666666665,Trinidad and Tobago,Trinidad,70.0,3.5,4,"coffee, fruit, woodsy",1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.223530513554012,3.211668839634941
92,170,Amedei,Italy,3.1666666666666665,Blend,Toscano Black,63.0,3.5,4,"fatty, dairy, caramel, cocoa",1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.086734693877551
93,123,Amedei,Italy,3.1666666666666665,Ecuador,Ecuador,70.0,3.0,4,"creamy, earthy, vegetal",1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2241003271537623
94,123,Amedei,Italy,3.1666666666666665,Jamaica,Jamaica,70.0,3.0,4,"sandy, woody, spicy",1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3.223530513554012,3.211668839634941
95,979,Amedei,Italy,3.2069444444444444,Peru,"Piura, Blanco de Criollo",70.0,3.75,4,"creamy, raspberry, nutty",1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.223530513554012,3.2241003271537623
96,2092,Amedei,Italy,3.1915555555555555,Blend,Nine,75.0,3.5,4,"sweet, delicate, complex",1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.086734693877551
97,2088,Amedei,Italy,3.1915555555555555,Madagascar,Madagascar,70.0,3.0,4,"vanilla, mint, roasty",1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3.223530513554012,3.2186609686609686
98,2088,Amedei,Italy,3.1915555555555555,Venezuela,Chuao,70.0,3.0,4,"vanilla, nuts, roasty",1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.223530513554012,3.2241003271537623
99,2092,Amedei,Italy,3.1915555555555555,Venezuela,Porcelana,70.0,3.0,4,"nutty, mild roasty, vanilla",1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.223530513554012,3.2241003271537623
100,2434,Amedei,Italy,3.1333333333333333,Blend,Toscano Black,70.0,2.75,3,"nut, fatty, rubbery, rich",1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3.223530513554012,3.086734693877551
101,572,AMMA,Brazil,3.1888297872340425,Brazil,"Monte Alegre, 3 diff. plantations",60.0,4.0,4,"creamy, sweet, cocoa, banana",1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.1836512421545726,3.2241003271537623
102,572,AMMA,Brazil,3.1888297872340425,Brazil,"Monte Alegre, 3 diff. plantations",50.0,3.75,4,"very sweet, bright red, banana",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.1836512421545726,3.2241003271537623
103,572,AMMA,Brazil,3.1888297872340425,Brazil,"Monte Alegre, 3 diff. plantations",75.0,3.75,4,"roasty, fatty, nutty, coffee",1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.1836512421545726,3.2241003271537623
104,572,AMMA,Brazil,3.1888297872340425,Brazil,"Monte Alegre, 3 diff. plantations",85.0,2.75,4,"creamy, red berry, bitter",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.1836512421545726,3.2241003271537623
105,1065,AMMA,Brazil,3.2148876404494384,Brazil,Catongo,75.0,3.25,4,"grainy, sweet, poor aftertaste",1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.1836512421545726,3.2241003271537623
106,1259,Anahata,United States,3.197530864197531,Dominican republic,Elvesia,75.0,3.0,2,"chalky, mild fruit, burnt",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.205074235907952,3.211668839634941
