,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,taste,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,nutty,sweet,cocoa,roasty,creamy,earthy,sandy,fatty,floral,intense,spicy,sour,molasses,woody,vanilla_taste,sticky,fruit,smokey
51,1992,Alain Ducasse,France,2017,Mexico,"Porcelana, Mexique",75.0,3.5,6,"strawberry, cream, gateway",1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
52,1944,Alexandre,Netherlands,2017,Ecuador,"Winak Coop, Napo",70.0,3.5,3,"sandy, green, floral",1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
53,1944,Alexandre,Netherlands,2017,Nicaragua,"La Dalia, Matagalpa",70.0,3.5,3,"sandy, sweet, nibby",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,1944,Alexandre,Netherlands,2017,Tanzania,"Makwale Village, Kyela",70.0,3.5,3,"sandy, melon, banana",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
55,1944,Alexandre,Netherlands,2017,Vietnam,Tien Giang,70.0,3.5,3,"sandy, sweet, roasty",1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,1129,Altus aka Cao Artisan,U.S.A,2013,Bolivia,"Bolivia, batch 101",80.0,3.25,4,"gritty, berry, mild bitter",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
57,1133,Altus aka Cao Artisan,U.S.A,2013,Peru,"Peru, batch 148",60.0,3.25,4,"gritty, too sweet, fruit",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
58,1125,Altus aka Cao Artisan,U.S.A,2013,Dominican republic,"Conacado, batch 130",60.0,3.0,4,"sandy, sweet, dairy, spice",1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
59,1133,Altus aka Cao Artisan,U.S.A,2013,Bolivia,"Bolivia, batch 154",60.0,3.0,4,"grit, sweet, caramel, fruit",1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
60,1125,Altus aka Cao Artisan,U.S.A,2013,Venezuela,Sur del Lago,60.0,2.5,4,"sweet, moldy, off",1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1728,Altus aka Cao Artisan,U.S.A,2016,Peru,Acopagro,60.0,3.0,3,"dry, sweet, caramel",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1728,Altus aka Cao Artisan,U.S.A,2016,Nicaragua,Momotombo,60.0,2.75,3,"powdery, sweet, molasses",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
63,1732,Altus aka Cao Artisan,U.S.A,2016,Ecuador,Gruppo Salinas,60.0,2.75,3,"sandy, nutty, earthy, roasty",1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
64,1732,Altus aka Cao Artisan,U.S.A,2016,Bolivia,CIAAB Coop,60.0,2.5,3,"sandy, sweet, pungent",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
65,1732,Altus aka Cao Artisan,U.S.A,2016,Peru,Villa Andina,60.0,2.5,3,"sandy, sweet, sour, off",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
66,2044,Altus aka Cao Artisan,U.S.A,2018,Dominican republic,Oko Caribe,70.0,3.0,3,"sweet, coarse, nutty",1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,175,Amano,U.S.A,2007,Venezuela,Ocumare,70.0,3.75,4,"spicy, strawberry",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
68,129,Amano,U.S.A,2007,Madagascar,Madagascar,70.0,3.5,4,"spice, nut, cocoa, fruit",1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
69,147,Amano,U.S.A,2007,Venezuela,Cuyagua,70.0,3.0,4,"waxy, nutty, mint",1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,304,Amano,U.S.A,2008,Indonesia,"Bali, Jembrana",70.0,2.75,4,"sticky, nutty, high acidity",1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
71,363,Amano,U.S.A,2009,Venezuela,Montanya,70.0,3.0,4,"hot spice, roasty",1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,470,Amano,U.S.A,2010,Ecuador,Guayas,70.0,4.0,4,"strong spice, intense pepper",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
73,470,Amano,U.S.A,2010,Dominican republic,Dos Rios,70.0,3.75,4,"orange, cinamon",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
74,544,Amano,U.S.A,2010,Venezuela,Chuao,70.0,3.0,4,"woody, red berry, sour",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
75,725,Amano,U.S.A,2011,Papua new guinea,Morobe,70.0,4.0,4,"tart, lemon, smoke",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
76,322,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,70.0,3.0,2,"dry, chalky, fudge-like",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,464,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,85.0,3.0,2,"roasty, oddly sweet, marshmallow",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,327,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,70.0,2.75,2,"waxy mouthfeel, spicy",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,464,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,85.0,2.75,2,"fatty, mushroom, off notes",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,1145,Amazona,Peru,2013,Peru,"Bellavista Gran Pajeten, San Martin",73.0,3.5,3,"oily, vegetal, nutty, cocoa",1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,1145,Amazona,Peru,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72.0,3.25,3,"oily, vanilla, melon, cocoa",1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
82,1498,Ambrosia,Canada,2015,Peru,Peru,68.0,3.5,2,"rich, sour, mild smoke",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
83,1494,Ambrosia,Canada,2015,Madagascar,Madagascar,66.0,3.25,2,"fruity, sour",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
84,1498,Ambrosia,Canada,2015,Dominican republic,Dominican Republic,75.0,3.25,2,"high roast, high astringnet",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1498,Ambrosia,Canada,2015,Papua new guinea,Papua New Guinea,63.0,3.25,2,"smokey, savory",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,1498,Ambrosia,Canada,2015,Venezuela,Venezuela,70.0,3.25,2,"sandy, roasty, nutty",0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87,1494,Ambrosia,Canada,2015,Belize,Belize,64.0,3.0,4,"roasty, brownie, nutty",1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,75,Amedei,Italy,2006,Blend,Toscano Black,66.0,3.75,4,"red wine, rich cocoa, long",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,123,Amedei,Italy,2007,Venezuela,Venezuela,70.0,3.75,4,"creamy, fruit, cocoa",1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
90,123,Amedei,Italy,2007,Grenada,Grenada,70.0,3.5,4,fruity with coffee notes,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,129,Amedei,Italy,2007,Trinidad,Trinidad,70.0,3.5,4,"coffee, fruit, woodsy",1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
92,170,Amedei,Italy,2007,Blend,Toscano Black,63.0,3.5,4,"fatty, dairy, caramel, cocoa",1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,123,Amedei,Italy,2007,Ecuador,Ecuador,70.0,3.0,4,"creamy, earthy, vegetal",1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
94,123,Amedei,Italy,2007,Jamaica,Jamaica,70.0,3.0,4,"sandy, woody, spicy",1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
95,979,Amedei,Italy,2012,Peru,"Piura, Blanco de Criollo",70.0,3.75,4,"creamy, raspberry, nutty",1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
96,2092,Amedei,Italy,2018,Blend,Nine,75.0,3.5,4,"sweet, delicate, complex",1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2088,Amedei,Italy,2018,Madagascar,Madagascar,70.0,3.0,4,"vanilla, mint, roasty",1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
98,2088,Amedei,Italy,2018,Venezuela,Chuao,70.0,3.0,4,"vanilla, nuts, roasty",1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,2092,Amedei,Italy,2018,Venezuela,Porcelana,70.0,3.0,4,"nutty, mild roasty, vanilla",1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,2434,Amedei,Italy,2019,Blend,Toscano Black,70.0,2.75,3,"nut, fatty, rubbery, rich",1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
101,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",60.0,4.0,4,"creamy, sweet, cocoa, banana",1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
102,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",50.0,3.75,4,"very sweet, bright red, banana",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
103,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",75.0,3.75,4,"roasty, fatty, nutty, coffee",1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",85.0,2.75,4,"creamy, red berry, bitter",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
105,1065,AMMA,Brazil,2013,Brazil,Catongo,75.0,3.25,4,"grainy, sweet, poor aftertaste",1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,1259,Anahata,U.S.A,2014,Dominican republic,Elvesia,75.0,3.0,2,"chalky, mild fruit, burnt",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
107,1852,Animas,U.S.A,2016,Bolivia,Alto Beni,75.0,3.5,2,"light roast, caramel, cocoa",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1375,Ara,France,2014,Madagascar,Madagascar,75.0,3.0,3,"sandy, fruity, short",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
109,1379,Ara,France,2014,Venezuela,Trincheras,75.0,3.0,3,"nutty, mild spice, mild earthy",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1379,Ara,France,2014,Ecuador,Equateur,75.0,2.75,3,"bitter, floral, leather",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111,1379,Ara,France,2014,Mexico,Chiapas,72.0,2.5,3,"earthy, sour milk, leather",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
112,1598,Arete,U.S.A,2015,Nicaragua,Chuno,70.0,4.0,2,"creamy, sticky, peanut butter",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
113,1534,Arete,U.S.A,2015,Ecuador,"Puerto Quito, heirloom",70.0,3.75,2,"spicy, cocoa",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
114,1598,Arete,U.S.A,2015,Belize,Maya Mountain,70.0,3.75,2,"floral, strawberry, metallic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
115,1534,Arete,U.S.A,2015,Brazil,Fazenda Camboa,70.0,3.5,2,"creamy, rich, rum, roasty",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
116,1534,Arete,U.S.A,2015,Peru,Nacional,68.0,3.5,2,"floral, nutty, rich cocoa",0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
117,1598,Arete,U.S.A,2015,Dominican republic,Oko Caribe,70.0,3.5,2,"spicy, brownie, nutty",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
118,1602,Arete,U.S.A,2015,Ecuador,Camino Verde,75.0,3.5,3,"intense, floral, bourbon",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
119,1602,Arete,U.S.A,2015,Guatemala,Guatemala,70.0,3.25,2,"strawberry, butterscotch, off",0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
120,1602,Arete,U.S.A,2015,Brazil,Fazenda Camboa,75.0,2.75,2,"floral, chemical off",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
121,1908,Arete,U.S.A,2016,Costa rica,"Coto Brus, Terciopelo",70.0,4.0,2,"balanced, cherry, choco",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
122,1924,Arete,U.S.A,2016,Peru,Phantom,70.0,4.0,2,"creamy, complex, balanced",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123,1724,Arete,U.S.A,2016,Tanzania,Kokoa Kamili,70.0,3.75,2,"appealing smoke, woody",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
124,1904,Arete,U.S.A,2016,Nicaragua,Rugoso,70.0,3.75,3,"muddy, rich cocoa, raspberry",1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
125,1928,Arete,U.S.A,2016,Dominican republic,Elvesia,70.0,3.75,2,"dark berry, chocolatey",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
126,1724,Arete,U.S.A,2016,Trinidad,San Juan,70.0,3.5,2,"delicate, simple",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,1900,Arete,U.S.A,2016,Vietnam,Tien Giang,73.0,3.5,3,"cashew, roasty, chunky melt",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1904,Arete,U.S.A,2016,Guatemala,Lachua,70.0,3.5,2,"subtle, mysterious",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,1908,Arete,U.S.A,2016,Honduras,"La Masica, FHIA",70.0,3.5,2,"nutty, green",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
