,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,taste,cocoa_butter,vanilla_have_not_vanilla,vanilla,vanilla_have_vanilla,lecithin,salt,sugar,sweetener_without_sugar,nutty,sweet,cocoa,roasty,creamy,earthy,sandy,fatty,floral,intense,spicy,sour,molasses,woody,vanilla_taste,sticky,fruit,smokey,company_continent,origin_continent
31,2462,Acalli,United States,2020,Mexico,"Teapa, Tabasco, batch 2",74.0,3.25,2,"herbal, molasses, hammy",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
32,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,88.0,3.5,3,"orange, floral, lemon",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,OC,OC
33,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Ami-Ami-CA",72.0,3.5,3,cocoa and powerful tang,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OC,OC
34,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Toto-A",80.0,3.25,3,spicy and candy-like,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OC,OC
35,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,60.0,2.75,3,"sweet, sublte strawberry",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OC,OC
36,2438,Aelan,Vanuatu,2019,Vanuatu,"EPI Island, batch E 11/19",70.0,3.0,2,"sandy, woody, spicy, sweet",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,OC,OC
37,2438,Aelan,Vanuatu,2019,Vanuatu,"Malo Island, batch Ma20/19",70.0,2.75,2,"basic, sweet, cocoa, woody",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,OC,OC
38,2442,Aelan,Vanuatu,2019,Vanuatu,"Santo Island, batch S15/19",70.0,2.75,2,"sweet, cocoa, rubbery",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OC,OC
39,2438,Aelan,Vanuatu,2019,Vanuatu,"Malekula Island, batch M10/19",70.0,2.5,2,"unrefined, sweet, metallic",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OC,OC
40,370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",70.0,3.0,4,"roasty, nutty, coffee",1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SA,SA
41,370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",55.0,2.75,4,"sandy, sweet, banana cream",1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SA,SA
42,316,Ah Cacao,Mexico,2009,Mexico,Tabasco,70.0,3.0,3,"gritty, spice, cocoa",1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA
43,502,Akesson's (Pralus),Switzerland,2010,Madagascar,"Madagascar, Ambolikapiky P.",75.0,2.75,4,"strong pepper, musty",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU,AF
44,508,Akesson's (Pralus),Switzerland,2010,Brazil,"Monte Alegre, D. Badero",75.0,2.75,4,"fatty, intense, woody",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,EU,SA
45,636,Akesson's (Pralus),Switzerland,2011,Indonesia,"Bali (west), Sukrama Family, Melaya area",75.0,3.75,4,"hay, nut, berry",1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,EU,AS
46,1061,Alain Ducasse,France,2013,Venezuela,Chuao,75.0,2.5,5,"sandy, dirt, ashey",1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,EU,SA
47,1173,Alain Ducasse,France,2013,Peru,"Piura, Perou",75.0,2.5,5,"cardboard, dirt, roasty",1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,EU,SA
48,1215,Alain Ducasse,France,2014,Madagascar,Madagascar,75.0,3.0,5,"citrus, fatty, dairy",1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,EU,AF
49,1215,Alain Ducasse,France,2014,Trinidad and Tobago,Trinite,65.0,2.75,6,"roasty, sweet, savory",1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU,NA
50,1215,Alain Ducasse,France,2014,Vietnam,Vietnam,75.0,2.75,5,"nutty, roasty, odd dairy",1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU,AS
51,1992,Alain Ducasse,France,2017,Mexico,"Porcelana, Mexique",75.0,3.5,6,"strawberry, cream, gateway",1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,EU,NA
52,1944,Alexandre,Netherlands,2017,Ecuador,"Winak Coop, Napo",70.0,3.5,3,"sandy, green, floral",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,EU,SA
53,1944,Alexandre,Netherlands,2017,Nicaragua,"La Dalia, Matagalpa",70.0,3.5,3,"sandy, sweet, nibby",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,EU,NA
54,1944,Alexandre,Netherlands,2017,Tanzania,"Makwale Village, Kyela",70.0,3.5,3,"sandy, melon, banana",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,EU,AF
55,1944,Alexandre,Netherlands,2017,Vietnam,Tien Giang,70.0,3.5,3,"sandy, sweet, roasty",1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,EU,AS
56,1129,Altus aka Cao Artisan,United States,2013,Bolivia,"Bolivia, batch 101",80.0,3.25,4,"gritty, berry, mild bitter",1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,SA
57,1133,Altus aka Cao Artisan,United States,2013,Peru,"Peru, batch 148",60.0,3.25,4,"gritty, too sweet, fruit",1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,SA
58,1125,Altus aka Cao Artisan,United States,2013,Dominican republic,"Conacado, batch 130",60.0,3.0,4,"sandy, sweet, dairy, spice",1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA
59,1133,Altus aka Cao Artisan,United States,2013,Bolivia,"Bolivia, batch 154",60.0,3.0,4,"grit, sweet, caramel, fruit",1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,SA
60,1125,Altus aka Cao Artisan,United States,2013,Venezuela,Sur del Lago,60.0,2.5,4,"sweet, moldy, off",1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,SA
61,1728,Altus aka Cao Artisan,United States,2016,Peru,Acopagro,60.0,3.0,3,"dry, sweet, caramel",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,SA
62,1728,Altus aka Cao Artisan,United States,2016,Nicaragua,Momotombo,60.0,2.75,3,"powdery, sweet, molasses",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,NA
63,1732,Altus aka Cao Artisan,United States,2016,Ecuador,Gruppo Salinas,60.0,2.75,3,"sandy, nutty, earthy, roasty",1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,SA
64,1732,Altus aka Cao Artisan,United States,2016,Bolivia,CIAAB Coop,60.0,2.5,3,"sandy, sweet, pungent",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,NA,SA
65,1732,Altus aka Cao Artisan,United States,2016,Peru,Villa Andina,60.0,2.5,3,"sandy, sweet, sour, off",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA,SA
66,2044,Altus aka Cao Artisan,United States,2018,Dominican republic,Oko Caribe,70.0,3.0,3,"sweet, coarse, nutty",1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
67,175,Amano,United States,2007,Venezuela,Ocumare,70.0,3.75,4,"spicy, strawberry",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,SA
68,129,Amano,United States,2007,Madagascar,Madagascar,70.0,3.5,4,"spice, nut, cocoa, fruit",1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,AF
69,147,Amano,United States,2007,Venezuela,Cuyagua,70.0,3.0,4,"waxy, nutty, mint",1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,SA
70,304,Amano,United States,2008,Indonesia,"Bali, Jembrana",70.0,2.75,4,"sticky, nutty, high acidity",1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,NA,AS
71,363,Amano,United States,2009,Venezuela,Montanya,70.0,3.0,4,"hot spice, roasty",1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,SA
72,470,Amano,United States,2010,Ecuador,Guayas,70.0,4.0,4,"strong spice, intense pepper",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,SA
73,470,Amano,United States,2010,Dominican republic,Dos Rios,70.0,3.75,4,"orange, cinamon",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA
74,544,Amano,United States,2010,Venezuela,Chuao,70.0,3.0,4,"woody, red berry, sour",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,NA,SA
75,725,Amano,United States,2011,Papua new guinea,Morobe,70.0,4.0,4,"tart, lemon, smoke",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,OC
76,322,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,70.0,3.0,2,"dry, chalky, fudge-like",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,EU,AF
77,464,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,85.0,3.0,2,"roasty, oddly sweet, marshmallow",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU,AF
78,327,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,70.0,2.75,2,"waxy mouthfeel, spicy",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,EU,SA
79,464,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,85.0,2.75,2,"fatty, mushroom, off notes",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EU,SA
80,1145,Amazona,Peru,2013,Peru,"Bellavista Gran Pajeten, San Martin",73.0,3.5,3,"oily, vegetal, nutty, cocoa",1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,SA,SA
81,1145,Amazona,Peru,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72.0,3.25,3,"oily, vanilla, melon, cocoa",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,SA,SA
82,1498,Ambrosia,Canada,2015,Peru,Peru,68.0,3.5,2,"rich, sour, mild smoke",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,NA,SA
83,1494,Ambrosia,Canada,2015,Madagascar,Madagascar,66.0,3.25,2,"fruity, sour",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,AF
84,1498,Ambrosia,Canada,2015,Dominican republic,Dominican Republic,75.0,3.25,2,"high roast, high astringnet",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
85,1498,Ambrosia,Canada,2015,Papua new guinea,Papua New Guinea,63.0,3.25,2,"smokey, savory",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,OC
86,1498,Ambrosia,Canada,2015,Venezuela,Venezuela,70.0,3.25,2,"sandy, roasty, nutty",0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,SA
87,1494,Ambrosia,Canada,2015,Belize,Belize,64.0,3.0,4,"roasty, brownie, nutty",1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
88,75,Amedei,Italy,2006,Blend,Toscano Black,66.0,3.75,4,"red wine, rich cocoa, long",1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU,Unknown
89,123,Amedei,Italy,2007,Venezuela,Venezuela,70.0,3.75,4,"creamy, fruit, cocoa",1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,EU,SA
90,123,Amedei,Italy,2007,Grenada,Grenada,70.0,3.5,4,fruity with coffee notes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU,NA
91,129,Amedei,Italy,2007,Trinidad and Tobago,Trinidad,70.0,3.5,4,"coffee, fruit, woodsy",1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,EU,NA
92,170,Amedei,Italy,2007,Blend,Toscano Black,63.0,3.5,4,"fatty, dairy, caramel, cocoa",1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EU,Unknown
93,123,Amedei,Italy,2007,Ecuador,Ecuador,70.0,3.0,4,"creamy, earthy, vegetal",1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EU,SA
94,123,Amedei,Italy,2007,Jamaica,Jamaica,70.0,3.0,4,"sandy, woody, spicy",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,EU,NA
95,979,Amedei,Italy,2012,Peru,"Piura, Blanco de Criollo",70.0,3.75,4,"creamy, raspberry, nutty",1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,EU,SA
96,2092,Amedei,Italy,2018,Blend,Nine,75.0,3.5,4,"sweet, delicate, complex",1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU,Unknown
97,2088,Amedei,Italy,2018,Madagascar,Madagascar,70.0,3.0,4,"vanilla, mint, roasty",1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,EU,AF
98,2088,Amedei,Italy,2018,Venezuela,Chuao,70.0,3.0,4,"vanilla, nuts, roasty",1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,EU,SA
99,2092,Amedei,Italy,2018,Venezuela,Porcelana,70.0,3.0,4,"nutty, mild roasty, vanilla",1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,EU,SA
100,2434,Amedei,Italy,2019,Blend,Toscano Black,70.0,2.75,3,"nut, fatty, rubbery, rich",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,EU,Unknown
101,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",60.0,4.0,4,"creamy, sweet, cocoa, banana",1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SA,SA
102,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",50.0,3.75,4,"very sweet, bright red, banana",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SA,SA
103,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",75.0,3.75,4,"roasty, fatty, nutty, coffee",1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,SA,SA
104,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",85.0,2.75,4,"creamy, red berry, bitter",1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SA,SA
105,1065,AMMA,Brazil,2013,Brazil,Catongo,75.0,3.25,4,"grainy, sweet, poor aftertaste",1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SA,SA
106,1259,Anahata,United States,2014,Dominican republic,Elvesia,75.0,3.0,2,"chalky, mild fruit, burnt",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA
107,1852,Animas,United States,2016,Bolivia,Alto Beni,75.0,3.5,2,"light roast, caramel, cocoa",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,SA
108,1375,Ara,France,2014,Madagascar,Madagascar,75.0,3.0,3,"sandy, fruity, short",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,EU,AF
109,1379,Ara,France,2014,Venezuela,Trincheras,75.0,3.0,3,"nutty, mild spice, mild earthy",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU,SA
110,1379,Ara,France,2014,Ecuador,Equateur,75.0,2.75,3,"bitter, floral, leather",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,EU,SA
111,1379,Ara,France,2014,Mexico,Chiapas,72.0,2.5,3,"earthy, sour milk, leather",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,EU,NA
112,1598,Arete,United States,2015,Nicaragua,Chuno,70.0,4.0,2,"creamy, sticky, peanut butter",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA
113,1534,Arete,United States,2015,Ecuador,"Puerto Quito, heirloom",70.0,3.75,2,"spicy, cocoa",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,SA
114,1598,Arete,United States,2015,Belize,Maya Mountain,70.0,3.75,2,"floral, strawberry, metallic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA,NA
115,1534,Arete,United States,2015,Brazil,Fazenda Camboa,70.0,3.5,2,"creamy, rich, rum, roasty",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,SA
116,1534,Arete,United States,2015,Peru,Nacional,68.0,3.5,2,"floral, nutty, rich cocoa",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,SA
117,1598,Arete,United States,2015,Dominican republic,Oko Caribe,70.0,3.5,2,"spicy, brownie, nutty",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA
